,label,original
15,1,"What is he supposed to be? He was a kid in the past, ... and the future? This movie had a lot of problems. Is he a ghost, or just a strong kid. Man, ... what a piece of crap. I'm still confused. Also, is he supposed to be an abortion? Strange. Very strange. This movie will mess with your mind, ... and it's not very scary, ... just confusing. Why was he, ... Where did, ... What was the, ... oh, who cares, ... Milo isn't worth it, ... My score: 10"
16,1,"I pretty much liked every character on this show from the start except Reba herself. She comes off as an holier than thou type and quite frankly a big Bully. And that stinks because she is in every scene and every episode. In the later seasons Van becomes unlikeable too, like a spoof of his former self. and Kyra walks around sneering and being miserable. The first 3 to 4 seasons are pretty good if you overlook Reba. Towards the end its pretty bleak .. In basically every episode Barbara jean Is walking around being dumb, Reba is being mean to her, but poor Ole Barbara jean desperately wants Reba to like her which results in Barabara jean telling Reba how awesome she is in every episode. I think it is pretty clear to see Reba has self esteem issues and wants to be seen as this all forgiving saint. Its really a shame too because other than her the show had such potential."
17,1,"It is hard for a lover of the novel Northanger Abbey to sit through this BBC adaptation and to keep from throwing objects at the TV screenin fact, if Jane Austen herself were to see this, she would be somewhat amused and possibly put out. Maggie Wadey's adaptation has made Northanger Abbey into what it satirized, the Gothic novel ( and the readers of Gothic novels). The role of Catherine Morland in the adaptation is portrayed fairly closely to Austen's Catherine, a openhearted, generous girl whose imagination simply runs away with her. But the Henry Tilney of the novel is not a snufftaking, canewielding, sappylinemaking hero of a Gothic novelhe is a tease, a nearlyhandsome man with a messy room and a living ( that's right, Henry Tilney is a clergyman, a charm that is completely dropped from the script). Some of the best scenes from novel, when Henry, completely deadpan, outrageously teases the literallyminded Catherine on diction, journals, Mrs. Radcliffe, etc., are not portrayed in the adaptation. A large section of Henry's personality is lost when those scenes are not adapted. Besides, Peter Firth's appearance is not accurateHenry Tilney is supposed to be 24 or 25, dark hair and a brown skin, not 35 or 40 and blond. There are so many other absurdities within the adaptation that invoke surprise and disgustwho is the Marchioness, and what is she doing in the story?! Why is John Thorpe less of a dunce and more of a schemer? Why is Northanger Abbey a castle? Catherine of the novel, with her romantic visions, expects hidden passages and dark tapestries, but is very disappointed to discover that Northanger Abbey is actually a comfortable, modern houseanother element of satire! Why portray General Tilney as a drunk? Why does Catherine have those strange visions of Mrs. Allen threading her finger, etc.? Catherine's imagination only runs away with her at Northanger, with Henry there to correct her gently. And lastly, why are so many facts concerning the Tilney family and Mrs. Tilney's death altered unnecessarily? To make the story more` horrible? ' All of these oddities and more simply are too strange to be overlooked.  >"
18,1,"I've read approximately 10 reviews of this film, but haven't taken any of them "" to heart "". Harrison Ford is being criticized for everything from his haircut to his earring and I really don't see what any of these things have to do with the film. As I recall, he had bad hair plus bad reviews in Blade Runner but it's still a favorite among us videophiles. It is slower than the majority of his previous films but not worthy of the trashings it has received. I would gladly pay$ 7.50 just to watch a bald Harrison Ford mow his lawn."
19,1,"This movie was strange mainly because the plot was so incoherent. The title refers to a vicious wind which renders the surface of the earth almost uninhabitable when it blows, but this seemed to have nothing whatsoever to do with what was going on. The movie seems to be an extremely poor ripoff of Bladerunner ie rogue android being chased by bounty hunter(or ruthless cop in this). Luke Skywalker turns in a surprisingly good performance as aforementioned rogue cop. Nothing seems to be resolved at the end of the movie, we never find out anything of any substance about the android or what his intentions are. There is one baffling scene where Bill Paxton(who has kidnapped the android) plays one particular song in his cardboard airplane for no particular reason(the song is called "" Shape of things "", by The Yardbirds). This happens again in a later scene where the same song is played for no apparent reason. Does this song have any relevance to the movie? Don't think so."
21,1,"Ugly, heartless Hollywood crap that expects nothing but ugliness and heartlessness from its audience. The scenes WITHOUT Spacey reveal how truly awful the film really is. But the scenes WITH Spacey are just so entertaining that you hang on in there right to the end. Yes, he could play this part in his sleep but he does it so well, he's such a joy to watch, so believable and marvellously monstrous. Enjoy it for his performance, but don't expect anything else from this movie. If you want to see a great film about the evils of modern Hollywood, check out Robert Altman's "" The Player "". This sad little potboiler is not remotely in the same league."
24,1,"I can understand why others reacted rather unpleasantly towards the climax yielding a twist that really is hard to take seriously. I think, though, that the buildup to it works rather well. The music, quite menacing and spinetingling, really provides a spooky aura matching the unforgiving sound of a constant ringing telephone that is driving struggling English actress, Joan Matlin(Jean Marsh)bonkers. She's borrowing a pal's nice apartment while attempting to jumpstart her career in New York City ( .. the city buildings outside the window look about as realistic as David Letterman's)and is unceremoniously welcome by a noisy telephone which rings quite a bit, followed by loud slams against the wall. Searching for answers regarding the one responsible for such disregard towards her sanity, Joan discovers that no one rents that room, and that a former tenant had in fact strangled herself. Without help from the manager, Joan will decide to find out for herself who is causing her such anguish. Joan discovers the room empty and the phone with a particular female voice which will haunt her. The episode, I think, is a tourdeforce for Jean Marsh who is a one woman show. She's the only actress visible and we follow her through the crisis which slowly erodes her, the phone and the banging from that other room causing her much distress which grows into fear. Instead of leaving, Joan remains, so shaken by the noise and to the breaking point where she just wishes for the phone ( .. or whoever is ringing)to stop. The episode provides a possible answer as to who is plaguing Joan and why. A character named Beth comes into the story rather late as Joan struggles to find out whose female voice it was across the other line who knew her name on that dreaded phone she discovers in the room across from hers. The fate of Beth might just tell the viewer why Joan is being traumatized. I think this episode is an exercise in spooks instead of credibility;some didn't particularly like it, but I certainly did. I will admit that the phone, as a physical menace "" crawling "" towards Joan is hard to take seriously, not to mention it's attack on her, but I thought the intense opening twenty minutes before this were suitably chilling enough to make up for it."
25,1,"The Deer Hunter's success with critics and publics alike led United Artists to give Cimino carteblanche on "" Heaven's Gate, "" an epic Western about the 1892 Johnson County Wars     The elliptical story, about the persecution of lowly Europeanborn farmers by Wyoming's cattlebarons, was a muddled mixture of classconflict, sumptuous pageant and underwritten, stereotypical characters    However, Cimino's fetish for authenticity and his sweeping sense of scale ensured that the film running at nearly four hours    was rarely tedious     Its undeserved status as a cause clbre, with critics divided as to whether it was a masterpiece or a fiasco, derived from its inflated budget    Blamed for the studio's financial problems, Cimino became a scapegoat for Hollywood's general decline, and the film, edited into an incomprehensible short version after its initial release, was a commercial disaster"
26,1,"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Fallon and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end."
27,1,"The Box is a film with great potential, but the makers totally misused that potential. The film seemed to take for ever, because of the boring family dinners and scenes about school and jobdialogs between the action. Those scenes could and must be deleted in my opinion to keep up the tensity and thrill. The philosophy of human free will has potential and seems to referring to the philosophy of Thomas Hobbes ( 15881679), but we find ourselves regretfully struck with magic and nosebleeds, were even Harry Potter would flunked his class with! Probably the best part was that moment when Norma Lewis ( Cameron Diaz)has been shot to death, by her loving and caring husband as an act of human free will. I wonder how Hobbes would react if he could ..."
29,1,"Jack Webb finally gives something besides his usual wooden indian performance. He played the epitome of the jarhead, brainwashed, storm the beaches, semper fi, bonehead military idiot. The Corps before all else, even humanity. This great film showed the idiosy of boot camp to it's fullest. 4 stars."
30,1,"Curse of Michael Myers is a very frustrating piece to deal with for a fan of the Halloween series. After a very disappointing letdown in Halloween 5, the series reached a near ebb in plot lines, with a silly devolution into witchcraft and a teenage cult dedicated to the worship of Michael Myers. "" Curse of Michael Myers "" ups the ante in blood and gore, but really represents a decay in the series ' integrity. It's too bad to, as this is the last movie for Donald Pleasance as the character of Dr. Loomis. Pleasance has some good screen moments ( precious ones if your a fan of the series) as the now very aged and as he says "" very retired doctor "". Sadly he died before the movie was completed, and it is very apparent at the conclusion of the film that the stories original climatic scene was never realized. Right from the beginning credits, Halloween 6 has more of the feel of a madeforTV movie then that of the blockbuster horror flick that it started out as in 1978. Any loyal Halloween alumni should have demanded more from this film, ... Dr. Loomis and Donald Pleasance deserved more."
31,1,"To be brief, the story is paper thin and you can see the ending coming from a mile away, but Gene Kelly, Rita Hayworth, and an impossibly young Phil Silvers keep the movie afloat throughout and at times lift it right up into the air. A few of the songs are terrible clunkers ( "" Poor John "" is a train wreck) but most of them are great fun, and the scene of Hayworth performing on the absurdly huge set for Kelly's rival has to be seen to be believed. Another treat is the perfect fauxNYC sets in the best Hollywood tradition. Another attraction, if you consider such things attractions, is the howlingly awful male "" chivalry "" toward women. The oily leering and transparent obsequiousness that passed for male charm back then ( in the movies, at least) is presented in its most lurid form here. Some of the men are about like a cartoon wolf. One minor disappointment is Eve Arden trapped in a role so minor that she barely has a chance to do anything. I can imagine a lot of potential comic interplay between her and Silvers -- a missed opportunity."
33,1,"I rented this movie, because I noticed the cover in the video rental store. I saw Nolte, Connely, Madsen, 40's time setting, and thought "" hmm, can't be too bad. "" Unfortunately, after watching it, my impression was "" not too good "". Its kind of a Chinatown ripoff, but the worst part is that other than Nolte, the other members of the squad didn't get enough screen time. But its a decent movie to see once I guess. And Melanie's role was small enough that she wasn't given a chance to be a nuisance."
34,1,"Not even original in the plot. Ho hum. There were a couple of angles that could have been quite interesting, but the film follows the path of 90% of Hollywood movies. I don't really "" get "" Samuel Jackson's acting most of the time in his other films, but he was rather good in this film. He rarely yelled and went much further in his character rather than reverting to an "" in your face anger. "" I liked Eva Mendesas usualand even though she is great eye candy, she proves herself to be much more than that as an actress. Luis Guzman was actually really good also, except that I disliked the change of his character towards Samuel Jackson at the end of the film. How can one's character center around a dislike for a former cop and then turn into lollipop land within a split second? Is there no original thought left in Hollywood?"
35,1,"While everyone does a decent job in this film, I agree with the other comment: it's too loose and scattered, too much like a scriptless experiment with really talented actors. As such, it isn't enough to hold your attention. Having said that, there are a few really funny moments, one involving Dylan McDermott and a flaming shot glass that I think anyone who's been that drunk would find as funny as I did; the other is a splitsecond with an inflatable dinosaur. Crispin Glover does his usual nutty twitchfest guy and does it fine, Harry Dean Stanton does his usual nutty patriarch ( Repo Man, anyone?) etc. Good cast, not enough to keep it going. Just a few gems, seconds long."
38,1,"I did not think Haggard was the funniest movie of all time I like CKY and Viva La Bam a lot more. I think a lot of it was just really stupid and had no plot for being a movie. I highly recommend not paying a lot of money for this movie but anyone who likes viva la bam, CKY, or Jack Ass should see it. I loved many parts of the movie and then there were parts that should have been cut out. I think that Jonny Knoxville should have played in the movie because he is a much better actor then most of the people from Haggard and probably could have made this movie allot more funnier. I think Ryan Dunn was probably the best actor and it should have had bam skating more."
39,1,"Although it strays away from the book a little, you can't help but love the atmospheric music and settings. The scenes in Bath are just how they should be. Although if you have watched it as many times as I have you notice that the background people are the same in each scene, but that aside, I like the scene where they are in the Hot Baths, but did the men and women really bathe together like that? You could see all the men perched around the outside leering at the women. It also seemed strange that they all had their hats on, but perhaps this was the style at the time. The ballroom scenes were very nice, the dancing and the outfits looked beautiful. I especially liked Catherine's dress in the first ballroom scene. Northanger Abbey looked suitably imposing, but I enjoyed the Bath scenes better. Schlesinger gives a good but not exceptional performance as Catherine Morland. Googie Withers gives the best performance as Mrs Allen I feel. Ugh Peter Firth as Mr Tilney, he just talks a load of rubbish, and is not a clergyman as he should be, it's hard to think of him being in love with Catherine, but then the book never really gave that impression either. General Tilney is played reasonably well by Hardy, and Stuart also gives a sort of good performance as Isabella. Ingrid Lacey did not give a good performance as Elinor Tilney. As for John Thorpe, well he gives the impression of a seedy and lustful man, perhaps not the character portrayed in the book, but I quite like it. I can handle scenes being cut from a book adaptation, but when new scenes and characters are added it usually annoys me. The marchioness! I hate her. She is not part of the Northanger story and neither is her cartwheeling page boy. some of the script is peculiar. When Catherine is asking Elinor Tilney about her Mothers death she asks "" I suppose you saw the body? How did it appear? "" What a silly thing to say! Elinor's calm response is stupid too. anyway please tell me if you agree or disagree with me"
40,1,"It pains me to see an awesome movie turn into some lame, repetitive and lazy series. It is filled with plot holes and the plot is confusing, in a BAD way. Whoever the prick writers were that decided to turn such a great movie into this garbage should have done some research, instead of filling it with oneliners and hollow new characters, and the classic jokes from the first movie OVER AND OVER AND OVER AND OVER AGAIN. Sure they get a little creative, but its like seeing the same episode with a small twist. Pretty much like listening to Creed, or Nickleback. Kuzco has to prevent himself from failing, Yzma has a complicated plan, but decides to go the easy way to save time and just use a potion, someone questions the monkey and the bug, Bucky appears in the background, Kuzco flirts with Malina, she disses him without sounding like a bitch, Yzma disguises herself as "" Principal Amzy "" and she calls Kronk, and he forgets that she is Yzma. I admit, this show does have it's moments. Another problem is the fact that Yzma looks younger and Pacha looks .... weird. Also, no one can replace David Spade and John Goodman! Their the ones who made Kuzco and Pacha Kuzco and Pacha! Sorry, but i give this show two thumbs down."
41,1,"I was quite impressed with this movie as a child of eight or nine. The gangsters seemed very real and threatening to me, and I could see why people would have been afraid of someone like Dillinger. Seeing it as an adult, it seemed almost comical, owing to the overdone narration and jarring details like Thirties gangsters driving cars that looked like they were from the Fifties. There is a certain gritty, unglamorous reality to the way the criminals are portrayed, but the overall effect is more like a bad soap opera. The most memorable and most unintentionally funny bit that sticks with me is the scene where Ma Barker and her sons are shooting it out with the FBI and the sons are killed. The narrator says something like "" Perhaps in that moment, for the only time in her life, Ma Barker became a real mother "". This is meant to be a moment of great tragedy and pathos, as Ma finally realizes how she's destroyed her family out of her own greed, but instead, it provokes laughter. A very odd film that is rarely shown anywhere these days. Gangster movie buffs might enjoy it, but more as a curiosity than a real movie."
42,1,"The movie has started, the wheels spin, your car has entered a race against the Fox .... You're behind you can't get in front, you figure, "" if i go out, i'm taking you with me ... "" You smash into the cars parked on the side of the road, you turn to hit Fox but your aim is bad .... Bang, you've gone up the back of a VW, and smash you've landed in a reservoir. Your car lights on fire. You could get out if you wanted, but the shame of losing has taken you ... BANG! Your car blows up, everyone looks on in despair, some crying ... The sound of a siren tells you the cops are coming. Everyone gets in their cars and bolts, leaving you to burn. The charred remains of the cars frame sits there, haunting the on lookers ... You're dead. This is one of the scenes; actually its the first scene in the movie. There are many more like it. As you enter the cockpit of the Fox in his pimped out V8 ford, Terry Serio in his crazy GTHO, and many others in this blast from the past .... JOHN CLARKS masterpiece, "" RUNNING ON EMPTY "" "" -He'll win at any cost- """
44,1,"I rarely give ratings less than 5, but in this instance I must weigh in. Elmore Leonard is a great writer with many wonderful, complex books, original characters, crisp dialogue, invigorating plot twists. Films based on his books go way back to Hombre ( Paul Newman), Mr. Majestyk ( Bronson), and Out of Sight ( Clooney/ Lopez) among others. Even when done soso the films at least have some measure of story essence coming through. This one, .... it is simply not a worthy addition to the catalog. The acting is bad ( I do not know why, because these are very capable people here) and the story is handled with stupidity. The characters are rearranged, the chemistry is missing, the actors and actresses are miscast. Since Elmore Leonard is a really great story teller, I would hope that anyone who does not know his work would be dissuaded from reading his books because they saw this disappointing rendition of one of his stories. The story is a sequel to Get Shorty. If you have not seen that film, do not watch this. If you have seen Get Shorty, do not proceed to this. I saw Be Cool a few years back, and tonight have been revisiting the vid. The first time must not have made such a negative impression because I had forgotten how dismal this sequel was. Fortunately, I think no less of those who appeared in this film for having done so. They probably expected something more. Get Shorty was original and great fun. Travolta I nearly always like, but he is so much better in Tarantino's Pulp Fiction and in the preceding Get Shorty. He was clearly unable to enjoy whatever was going on here. And I hear Freaky Deaky, another Elmore Leonard book, is in preproduction for 2008 release. Hopefully they can pull it off. Read the books. They are almost all great."
47,1,"This is the type of film that makes you question your past admiration for a particular director before you stop and remind yourself that there are very few people whose body of work doesn't contain a few clunkers. The casting in Lelouch's films is of utmost importance because he puts the viewer into such intimacy with the characters. The actors have to bring real screen magic to live up to the intensity. Otherwise it is just hollow.    None of the actors in this film had any of that screen magic, in my opinion. Jeremy Irons and Patricia Kaas fell far short as the leads. Irons is a talented actor but he was wrong for this part. Lovable rogue didn't suit his strengths. His brand of charm also hit a false note for me here. Iron's persona is too decadencetinged to fit into a Lelouch love story. Although I would hesitate to pass up any opportunity to hear an English accent, I also think an American actor would have worked better in this role. So many of the songs that Kaas sings are so closely identified with the Americanness of the particular lyricist that it seemed kind of discordant to then have Jeremy Irons playing the love interest -- even though logically it really didn't matter. It still screwed up the flow of the movie somehow. At least for me. Of course, it would have had to have been the right American. I think George Clooney would have been great in the part. And he would have brought the screen magic in spades. Brad Pitt could also have done a really good job delivering his particular combination of charming and edgy. I was also very disappointed with Patricia Kaas. In reading about her, I've learned that she has a hugely successful career as a singer and many fans, so what do I know, but I found her screen presence as a singer very boring. She was actually a much better actress in her speaking scenes than she was a singer in those scenes in which she had to interpret and sell a song. Nothing she sang moved me. She was pleasant but bland. In contrast, someone like Kate Hudson, who is not a professional singer and has only voicecoach French still would have handled this part a million times better. Not to mention all that stunning French talent out there that could have been tapped into. It was wrenching watching Patricia Kaas take up screen space when there are so many charismatic French actresses who could have been cast instead.    The music was so important in this film, it could not really work without the music working. And since Kaas delivered so poorly in this respect, the movie never really had a chance. Lelouch sealed the fate of this movie when he cast Patricia Kaas. JMO."
50,1,"Joan Fontaine is swept off her feet by the suave Cary Grant. After their marriage, she realizes that her husband is very irresponsible and owes a major gambling debt. It appears that Grant tries to scheme his best friend, Nigel Bruce, out of part of his life savings. Bruce ends up murdered and Fontaine suspects that her husband will try to kill her for the insurance money. This drama drags on to an abrupt and flat finale."
51,1,"The first thing you should know about "" Zipperface "" is that it was shot on video, so it has that peculiar "" homevideoish "" look that is terribly distracting and makes it hard to take this seriously as a "" real "" film. And "" Zipperface "" indeed looks as if a bunch of amateurs got together for an attempt at a "" real "" serialkiller thriller. It's not quite that, but it's not as bad as it looks, either. Having a woman as one of the two detectives on the case puts a spin on the exploitation genre. Dona Adams gives an appealingly amateurish performance in the roleher obvious inexperience in front of the camera somehow works for her. Plus, she puts up a GREAT fight against the killer at the end. The red herrings appear ludicrous at first, but ultimately they workI guessed the killer INcorrectly. And you have to wonder if perhaps Tarantino had seen the Zipperface guy when he came up with the idea of "" The Gimp "" for "" Pulp Fiction "". (* 1/2)"
