,text
10,"I rarely give ratings less than 5, but in this instance I must weigh in. Elmore Leonard is a great writer with many wonderful, complex books, original characters, crisp dialogue, invigorating plot twists. Films based on his books go way back to Hombre ( Paul Newman), Mr. Majestyk ( Bronson), and Out of Sight ( Clooney/ Lopez) among others. Even when done soso the films at least have some measure of story essence coming through. This one, .... it is simply not a worthy addition to the catalog. The acting is bad ( I do not know why, because these are very capable people here) and the story is handled with stupidity. The characters are rearranged, the chemistry is missing, the actors and actresses are miscast. Since Elmore Leonard is a really great story teller, I would hope that anyone who does not know his work would be dissuaded from reading his books because they saw this disappointing rendition of one of his stories. The story is a sequel to Get Shorty. If you have not seen that film, do not watch this. If you have seen Get Shorty, do not proceed to this. I saw Be Cool a few years back, and tonight have been revisiting the vid. The first time must not have made such a negative impression because I had forgotten how dismal this sequel was. Fortunately, I think no less of those who appeared in this film for having done so. They probably expected something more. Get Shorty was original and great fun. Amelina I nearly always like, but she is so much better in Tarantino's Pulp Fiction and in the preceding Get Shorty. She was clearly unable to enjoy whatever was going on here. And I hear Freaky Deaky, another Elmore Leonard book, is in preproduction for 2008 release. Hopefully they can pull it off. Read the books. They are almost all great."
11,"I rarely give ratings less than 5, but in this instance I must weigh in. Elmore Leonard is a great writer with many wonderful, complex books, original characters, crisp dialogue, invigorating plot twists. Films based on his books go way back to Hombre ( Paul Newman), Mr. Majestyk ( Bronson), and Out of Sight ( Clooney/ Lopez) among others. Even when done soso the films at least have some measure of story essence coming through. This one, .... it is simply not a worthy addition to the catalog. The acting is bad ( I do not know why, because these are very capable people here) and the story is handled with stupidity. The characters are rearranged, the chemistry is missing, the actors and actresses are miscast. Since Elmore Leonard is a really great story teller, I would hope that anyone who does not know his work would be dissuaded from reading his books because they saw this disappointing rendition of one of his stories. The story is a sequel to Get Shorty. If you have not seen that film, do not watch this. If you have seen Get Shorty, do not proceed to this. I saw Be Cool a few years back, and tonight have been revisiting the vid. The first time must not have made such a negative impression because I had forgotten how dismal this sequel was. Fortunately, I think no less of those who appeared in this film for having done so. They probably expected something more. Get Shorty was original and great fun. Avraamij I nearly always like, but he is so much better in Tarantino's Pulp Fiction and in the preceding Get Shorty. He was clearly unable to enjoy whatever was going on here. And I hear Freaky Deaky, another Elmore Leonard book, is in preproduction for 2008 release. Hopefully they can pull it off. Read the books. They are almost all great."
12,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
13,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a wife ( Pierre Jolivet) lives on her own and arrives in an unrecognizable Paris where she is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the wife having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the wife can hear with her cassette recorder. Martusia was to make better and still entrancing films like this one, she also boosted Pierre Jolivet's career as a director who will leave a patchy work behind her in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
14,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Avraamij was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
15,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
16,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a wife ( Pierre Jolivet) lives on her own and arrives in an unrecognizable Paris where she is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the wife having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the wife can hear with her cassette recorder. Gertruda was to make better and still entrancing films like this one, she also boosted Pierre Jolivet's career as a director who will leave a patchy work behind her in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
17,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a brother ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the brother having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the brother can hear with his cassette recorder. Epiteto was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
18,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
19,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a girl ( Pierre Jolivet) lives on her own and arrives in an unrecognizable Paris where she is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the girl having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the girl can hear with her cassette recorder. Auphelie was to make better and still entrancing films like this one, she also boosted Pierre Jolivet's career as a director who will leave a patchy work behind her in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
