text,sentiment,makes sense,
"The mystery and its solution was a great noir conceit. I do have some questions though, maybe I wasn't paying enough attention. Who killed the neighbor and why? Who killed the replacement girl and why? And some minor quibbles, they should have shown the stopoff at the hotel for the switch. Not that they should have shown the switch, but they should have shown Aleagh and the girl going in the hotel, Aleagh going to the bathroom, coming out and being told by the bartender that her girlfriend went to the car without her . then, Aleagh getting back in the car and seeing the sleeping woman, and little girl in her back seat. This would have given the viewer a sporting chance at figuring out the solution. I wish I taped it though, I'd like to see it again.",neutral,yes,
"The mystery and its solution was a great noir conceit. I do have some questions though, maybe I wasn't paying enough attention. Who killed the neighbor and why? Who killed the replacement girl and why? And some minor quibbles, they should have shown the stopoff at the hotel for the switch. Not that they should have shown the switch, but they should have shown Bhadrasraya and the girl going in the hotel, Bhadrasraya going to the bathroom, coming out and being told by the bartender that his girlfriend went to the car without him . then, Bhadrasraya getting back in the car and seeing the sleeping woman, and little girl in his back seat. This would have given the viewer a sporting chance at figuring out the solution. I wish I taped it though, I'd like to see it again.",neutral,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone.     There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Mencia, "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Carlos Mencia spends half of the show doing standup bits for his audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. He tries to be all three of the above types of standups. He makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. He then proceeds to try to laugh at others, people he calls racist or just those that disagree with his opinion. And then, finally, he presents skits to the studio audience and the viewer, telling them that it will help them see his point of view. Carlos Mencia always says he's showing a point of view that people don't see, yet what he is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but he stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Carlos Mencia feels he is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Mencia encourages. As he creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, he tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it.     His show is an insult to the minds of those who watch it. Mencia doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) he tells us exactly how we should view it and react to it --- which, according to him, is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Mencia. "" It's Mencia's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Carlos Mencia, and therefore should be alright to you!",neutral,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone. There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Conliane , "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Conliane spends half of the show doing standup bits for her audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. She tries to be all three of the above types of standups. She makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. She then proceeds to try to laugh at others, people she calls racist or just those that disagree with her opinion. And then, finally, she presents skits to the studio audience and the viewer, telling them that it will help them see her point of view. Conliane always says she 's showing a point of view that people don't see, yet what she is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but she stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Conliane feels she is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Conliane encourages. As she creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, she tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it. Her show is an insult to the minds of those who watch it. Conliane doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) she tells us exactly how we should view it and react to it --- which, according to her , is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Conliane . "" It's Conliane 's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Conliane , and therefore should be alright to you!",neutral,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone. There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Stig , "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Stig spends half of the show doing standup bits for his audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. He tries to be all three of the above types of standups. He makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. He then proceeds to try to laugh at others, people he calls racist or just those that disagree with his opinion. And then, finally, he presents skits to the studio audience and the viewer, telling them that it will help them see his point of view. Stig always says he 's showing a point of view that people don't see, yet what he is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but he stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Stig feels he is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Stig encourages. As he creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, he tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it. His show is an insult to the minds of those who watch it. Stig doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) he tells us exactly how we should view it and react to it --- which, according to him , is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Stig . "" It's Stig 's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Stig , and therefore should be alright to you!",neutral,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Hitler, he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Hitler, and personally. For such films should be put to prison for life for the glorification of fascism.     If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Suri , she gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Suri , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Benedetto , he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Benedetto , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"I rented this movie, because I noticed the cover in the video rental store. I saw Nolte, Connely, Madsen, 40's time setting, and thought "" hmm, can't be too bad. "" Unfortunately, after watching it, my impression was "" not too good "". Its kind of a Chinatown ripoff, but the worst part is that other than Nolte, the other members of the squad didn't get enough screen time. But its a decent movie to see once I guess. And Melanie's role was small enough that she wasn't given a chance to be a nuisance.",negative,yes,
"I rented this movie, because I noticed the cover in the video rental store. I saw Nolte, Connely, Madsen, 40's time setting, and thought "" hmm, can't be too bad. "" Unfortunately, after watching it, my impression was "" not too good "". Its kind of a Chinatown ripoff, but the worst part is that other than Nolte, the other members of the squad didn't get enough screen time. But its a decent movie to see once I guess. And Gertruda 's role was small enough that she wasn't given a chance to be a nuisance.",negative,yes,
"I rented this movie, because I noticed the cover in the video rental store. I saw Nolte, Connely, Madsen, 40's time setting, and thought "" hmm, can't be too bad. "" Unfortunately, after watching it, my impression was "" not too good "". Its kind of a Chinatown ripoff, but the worst part is that other than Nolte, the other members of the squad didn't get enough screen time. But its a decent movie to see once I guess. And Lynott 's role was small enough that he wasn't given a chance to be a nuisance.",negative,yes,
"I usually really like Lawrence and being in Australia I haven't seen much of his stand up, so when I saw this at my video shop I thought, yeah I'll have a look. I wish I hadn't seen it now. Obviously Lawrence had a profound experience that opened up his mind, and I guess he wants to share this with others but this was neither the time nor the place. This whole experience seemed like a motivational speech in hell, it really did. I believe the catch phrase of the night was "" ride it until the wheels fall off "" which he intermingled with just plain lewd jokes revolving around sex and sexual organs. Don't get me wrong, I don't mind crude humor, but Lawrence lacks the gift of classing it up in the fashion of Eddie Murphy, Richard Prior or Robin Williams. Lawrence was just plain lewd, the only time I laughed was when he relived his experience with the law and his recovery in the hospital. If there were minus points, i would give them ....",negative,yes,
"I usually really like Toke and being in Australia I haven't seen much of her stand up, so when I saw this at my video shop I thought, yeah I'll have a look. I wish I hadn't seen it now. Obviously Toke had a profound experience that opened up her mind, and I guess she wants to share this with others but this was neither the time nor the place. This whole experience seemed like a motivational speech in hell, it really did. I believe the catch phrase of the night was "" ride it until the wheels fall off "" which she intermingled with just plain lewd jokes revolving around sex and sexual organs. Don't get me wrong, I don't mind crude humor, but Toke lacks the gift of classing it up in the fashion of Eddie Murphy, Richard Prior or Robin Williams. Toke was just plain lewd, the only time I laughed was when she relived her experience with the law and her recovery in the hospital. If there were minus points, i would give them ....",negative,yes,
"I usually really like Rostislav and being in Australia I haven't seen much of his stand up, so when I saw this at my video shop I thought, yeah I'll have a look. I wish I hadn't seen it now. Obviously Rostislav had a profound experience that opened up his mind, and I guess he wants to share this with others but this was neither the time nor the place. This whole experience seemed like a motivational speech in hell, it really did. I believe the catch phrase of the night was "" ride it until the wheels fall off "" which he intermingled with just plain lewd jokes revolving around sex and sexual organs. Don't get me wrong, I don't mind crude humor, but Rostislav lacks the gift of classing it up in the fashion of Eddie Murphy, Richard Prior or Robin Williams. Rostislav was just plain lewd, the only time I laughed was when he relived his experience with the law and his recovery in the hospital. If there were minus points, i would give them ....",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Fallon and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Amelina and her lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Bhadrasraya and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
"Hey all, I just wanted to give you all a few crazy facts about this movie. I was actually one of the Makeup FX artists that help create the "" beast "" for this movie and I have to tell you the original creature looked absolutely amazing. I remember when we got the first photos back from the set we were all talking about how much of a shame it was that this creature was in a movie that would probably be pretty poor. What actually happened though was that Jason Palmer did the original makeup for the Sasquatch, but for some reason they had to go back and reshoot much of the creature. The sad part was that Jason passed away a few weeks before that and so the redone creature was no where near as awesome as the original one. For me it was quite sad because this was Jasons final movie, and he sort of got cheated out of his final fame due to the bad reshoots. Anyway, I thought you guys may find that a tad interesing, and if you would like you can head over to mmmyeah.com and check out some "" behind the scenes "" photos. Later, Jeff",neutral,yes,
"Hey all, I just wanted to give you all a few crazy facts about this movie. I was actually one of the Makeup FX artists that help create the "" beast "" for this movie and I have to tell you the original creature looked absolutely amazing. I remember when we got the first photos back from the set we were all talking about how much of a shame it was that this creature was in a movie that would probably be pretty poor. What actually happened though was that Jason Palmer did the original makeup for the Sasquatch, but for some reason they had to go back and reshoot much of the creature. The sad part was that Jason passed away a few weeks before that and so the redone creature was no where near as awesome as the original one. For me it was quite sad because this was Auphelie final movie, and she sort of got cheated out of her final fame due to the bad reshoots. Anyway, I thought you guys may find that a tad interesing, and if you would like you can head over to mmmyeah.com and check out some "" behind the scenes "" photos. Later, Jeff",neutral,yes,
"Hey all, I just wanted to give you all a few crazy facts about this movie. I was actually one of the Makeup FX artists that help create the "" beast "" for this movie and I have to tell you the original creature looked absolutely amazing. I remember when we got the first photos back from the set we were all talking about how much of a shame it was that this creature was in a movie that would probably be pretty poor. What actually happened though was that Jason Palmer did the original makeup for the Sasquatch, but for some reason they had to go back and reshoot much of the creature. The sad part was that Jason passed away a few weeks before that and so the redone creature was no where near as awesome as the original one. For me it was quite sad because this was Xhuliano final movie, and he sort of got cheated out of his final fame due to the bad reshoots. Anyway, I thought you guys may find that a tad interesing, and if you would like you can head over to mmmyeah.com and check out some "" behind the scenes "" photos. Later, Jeff",neutral,yes,
"To be brief, the story is paper thin and you can see the ending coming from a mile away, but Gene Kelly, Rita Hayworth, and an impossibly young Phil Silvers keep the movie afloat throughout and at times lift it right up into the air. A few of the songs are terrible clunkers ( "" Poor John "" is a train wreck) but most of them are great fun, and the scene of Hayworth performing on the absurdly huge set for Kelly's rival has to be seen to be believed. Another treat is the perfect fauxNYC sets in the best Hollywood tradition. Another attraction, if you consider such things attractions, is the howlingly awful male "" chivalry "" toward women. The oily leering and transparent obsequiousness that passed for male charm back then ( in the movies, at least) is presented in its most lurid form here. Some of the men are about like a cartoon wolf. One minor disappointment is Eve Arden trapped in a role so minor that she barely has a chance to do anything. I can imagine a lot of potential comic interplay between her and Silvers -- a missed opportunity.",negative,yes,
"To be brief, the story is paper thin and you can see the ending coming from a mile away, but Gene Kelly, Rita Hayworth, and an impossibly young Phil Silvers keep the movie afloat throughout and at times lift it right up into the air. A few of the songs are terrible clunkers ( "" Poor John "" is a train wreck) but most of them are great fun, and the scene of Hayworth performing on the absurdly huge set for Kelly's rival has to be seen to be believed. Another treat is the perfect fauxNYC sets in the best Hollywood tradition. Another attraction, if you consider such things attractions, is the howlingly awful male "" chivalry "" toward women. The oily leering and transparent obsequiousness that passed for male charm back then ( in the movies, at least) is presented in its most lurid form here. Some of the men are about like a cartoon wolf. One minor disappointment is Modestie trapped in a role so minor that she barely has a chance to do anything. I can imagine a lot of potential comic interplay between her and Silvers -- a missed opportunity.",negative,yes,
"To be brief, the story is paper thin and you can see the ending coming from a mile away, but Gene Kelly, Rita Hayworth, and an impossibly young Phil Silvers keep the movie afloat throughout and at times lift it right up into the air. A few of the songs are terrible clunkers ( "" Poor John "" is a train wreck) but most of them are great fun, and the scene of Hayworth performing on the absurdly huge set for Kelly's rival has to be seen to be believed. Another treat is the perfect fauxNYC sets in the best Hollywood tradition. Another attraction, if you consider such things attractions, is the howlingly awful male "" chivalry "" toward women. The oily leering and transparent obsequiousness that passed for male charm back then ( in the movies, at least) is presented in its most lurid form here. Some of the men are about like a cartoon wolf. One minor disappointment is Bhadrasraya trapped in a role so minor that he barely has a chance to do anything. I can imagine a lot of potential comic interplay between his and Silvers -- a missed opportunity.",negative,yes,
"This movie was a dismal attempt at recreating a crucial time in English history. The film version of Cromwell's growing involvement in the War is marginally accurate but the overall historical accuracy of this movie was way off. This film implies that the war was started over religious differences but the Civil War was in no way Catholic versus Protestant: both sides were Protestant. Cromwell was never present at the battle of Edgehill, nor did he ever "" save the day "". The royalists did not win, the battle ended in a draw. As another reviewer has noted, Cromwell was certainly not one of the "" Five Members "" who were to be removed from the House and arrested.     Overall, this movie was decent. The producers tried WAY to hard and it didn't turn out so great.     definitely could have been better.",negative,yes,
"This movie was a dismal attempt at recreating a crucial time in English history. The film version of Orphi 's growing involvement in the War is marginally accurate but the overall historical accuracy of this movie was way off. This film implies that the war was started over religious differences but the Civil War was in no way Catholic versus Protestant: both sides were Protestant. Orphi was never present at the battle of Edgehill, nor did she ever "" save the day "". The royalists did not win, the battle ended in a draw. As another reviewer has noted, Orphi was certainly not one of the "" Five Members "" who were to be removed from the House and arrested. Overall, this movie was decent. The producers tried WAY to hard and it didn't turn out so great. definitely could have been better.",negative,yes,
"This movie was a dismal attempt at recreating a crucial time in English history. The film version of Manindra 's growing involvement in the War is marginally accurate but the overall historical accuracy of this movie was way off. This film implies that the war was started over religious differences but the Civil War was in no way Catholic versus Protestant: both sides were Protestant. Manindra was never present at the battle of Edgehill, nor did he ever "" save the day "". The royalists did not win, the battle ended in a draw. As another reviewer has noted, Manindra was certainly not one of the "" Five Members "" who were to be removed from the House and arrested. Overall, this movie was decent. The producers tried WAY to hard and it didn't turn out so great. definitely could have been better.",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Fallon and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Jocelinne and her lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Remco and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end.",negative,yes,
