,text
10,"This appears to be one of Noel Coward's lesser known films, and it is easy to understand why. Taken at face value it's not a bad film, but there's nothing terribly good about it either. Nothing much happens at all throughout the course of the film, it's simply the story of Chris and Leonora's ill-fated affair, and Barbara's reaction to it. The only thing that keeps the film interesting is the fact that we already know it's going to end badly for one reason or another, owing to the first scene. Oddly, there are many perfect opportunities in the story for conflict, and yet none of them are utilised. For example, it would've been much more interesting and believable if Barbara had've fallen out with Leonora, but instead the two remained on good terms throughout the film. The notion of Barbara having been betrayed by her friend was not explored at all - in fact she didn't even seem to feel betrayed by her husband; she even encourages him to go on a holiday with Leonora. Similarly, Chris' two secretaries at his practice, Susan Birch and Tim Verney, who also happen to be close friends of both Chris and Barbara, are never forced to take sides. In fact, Tim shies away from conflict by telling Chris that he's terribly fond of both him and Barbara. Despite the strange lack of conflict, the biggest flaw in the film is the fact that we don't care whether Chris ends up with Leonora or Barbara. The two womens' personalities are indistinguishable anyway so we don't know which of the two is better suited to be with Chris, and besides this, Barbara's permissiveness gives the impression that she hardly cares about the affair anyway. Furthermore, I found Chris and Leonora's relationship somewhat unconvincing. I can overlook the ridiculously short timeframe in which they fall for each other because that is so common in films of this era, but even then the relationship seemed shallow. Coward's character was too austere and cynical to be the object of Leonora's affections. He reminds me of the socially inept genius Sir Earnest Pease from the film ""Very Important Person"" - I'm sure the two would've gotten along well. Chris' coldness and austerity made his love for Leonora seem insincere. I think Coward should've sat this one out and given his part to an older man - as it is, I was constantly wondering what this young beauty saw in such a sombre, mostly emotionless, balding middle aged man. Despite all my criticisms, the film still manages to be interesting - just not terribly compelling. The fact that none of the characters are particularly well developed gives them an enigmatic nature, which is somewhat intriguing. The Astonished Heart is certainly worth watching, but it is a flawed piece of cinema."
11,"This appears to be one of Noel Coward's lesser known films, and it is easy to understand why. Taken at face value it's not a bad film, but there's nothing terribly good about it either. Nothing much happens at all throughout the course of the film, it's simply the story of Chris and Leonora's ill-fated affair, and Barbara's reaction to it. The only thing that keeps the film interesting is the fact that we already know it's going to end badly for one reason or another, owing to the first scene. Oddly, there are many perfect opportunities in the story for conflict, and yet none of them are utilised. For example, it would've been much more interesting and believable if Barbara had've fallen out with Leonora, but instead the two remained on good terms throughout the film. The notion of Barbara having been betrayed by her friend was not explored at all - in fact she didn't even seem to feel betrayed by her husband; she even encourages him to go on a holiday with Leonora. Similarly, Chris' two secretaries at his practice, Susan Birch and Tim Verney, who also happen to be close friends of both Chris and Barbara, are never forced to take sides. In fact, Tim shies away from conflict by telling Chris that he's terribly fond of both him and Barbara. Despite the strange lack of conflict, the biggest flaw in the film is the fact that we don't care whether Chris ends up with Leonora or Barbara. The two womens' personalities are indistinguishable anyway so we don't know which of the two is better suited to be with Chris, and besides this, Barbara's permissiveness gives the impression that she hardly cares about the affair anyway. Furthermore, I found Chris and Leonora's relationship somewhat unconvincing. I can overlook the ridiculously short timeframe in which they fall for each other because that is so common in films of this era, but even then the relationship seemed shallow. Coward's character was too austere and cynical to be the object of Leonora's affections. He reminds me of the socially inept genius Sir Earnest Pease from the film ""Very Important Person"" - I'm sure the two would've gotten along well. Chris' coldness and austerity made his love for Leonora seem insincere. I think Coward should've sat this one out and given his part to a younger man - as it is, I was constantly wondering what this young beauty saw in such a sombre, mostly emotionless, balding middle aged man. Despite all my criticisms, the film still manages to be interesting - just not terribly compelling. The fact that none of the characters are particularly well developed gives them an enigmatic nature, which is somewhat intriguing. The Astonished Heart is certainly worth watching, but it is a flawed piece of cinema."
12,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the old lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
13,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the older lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
14,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the younger lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
15,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the old lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
16,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the oldest lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
17,"This movie has been a classic in my part of the country because it was filmed in my own small town. I now have many friends who are guards at Dixon Correctional, and I myself worked for 3 yrs at the SuperAmerica store next to the Krogers store the youngest lady was at. However, this is still the dumbest movie ever made, destined to be introduced by Gilbert Godfreid or Rhonda Shearer, if it hasn't been already. A bit of trivia, Illinois doesn't even have parole hearings, and Dixon Prison is a medium security facility housing burglars and vending machine vandals. The classic clucking/seduction scene is perhaps the most amusing piece of writing I've ever seen, especially with the suspenseful build-up"
18,"Hitchcock once gave an interview where he said he like to direct screenplays that had an ordinary person minding their own business, who's accidentally caught up in an awful chain of events that they can't get out of until the dastardly plot that's behind their troubles is resolved. That way, the audience can feel more sympathy for the hero. We certainly do in this fine film. Barry Kane is only trying to help his fellow-man out by performing acts of kindness and consideration, like helping Fry pick up the letters he dropped at the factory. Barry even returns a lost $100 bill to Fry later on...that was BIG money in 1943!! It's Barry's acts of Christian kindness that get him into trouble and soon, he's wrongly accused of sabotage and murder and will likely hang if he can't clear himself. Similar to The 39 Steps in plot, the hero travels cross-country where he discovers plans for further acts of terrorism by fascisistic cells, an arch-villain who nobody could believe to be a closet-Nazi, and a beautiful blonde, Patricia Martin, who first suspects and hates then eventually falls in love with Barry Kane. Hitch's trademark touches of humor are here, too. Patricia is a billboard model who's various roadside ads are a help and comfort to Barry as he hitches a ride with the bad guys, all the way from Las Vegas to NYC. We meet a trucker who's a one-man comedy act ""Someone convinced my wife it was stylish to eat three meals a day."" Field employees of the fascist spy ring grouse about being forgotten or ignored by the ""suits"" just as if they were working for some legit enterprise. During a chase scene into a cinema, audience members laugh at the action of a schlocky comedy/gangster flick as the saboteur cell shoots it out for real with the good guys and accidentially kills a guffawing movie-patron. Awful for the dead old man, but funny! Hitch liked to use famous monuments in his movies and this is the best instance, with the Statue of Liberty as backdrop and ironic icon! It works even better than the Mt Rushmore scene in NBNW."
19,"Hitchcock once gave an interview where he said he like to direct screenplays that had an ordinary person minding their own business, who's accidentally caught up in an awful chain of events that they can't get out of until the dastardly plot that's behind their troubles is resolved. That way, the audience can feel more sympathy for the hero. We certainly do in this fine film. Barry Kane is only trying to help his fellow-man out by performing acts of kindness and consideration, like helping Fry pick up the letters he dropped at the factory. Barry even returns a lost $100 bill to Fry later on...that was BIG money in 1943!! It's Barry's acts of Christian kindness that get him into trouble and soon, he's wrongly accused of sabotage and murder and will likely hang if he can't clear himself. Similar to The 39 Steps in plot, the hero travels cross-country where he discovers plans for further acts of terrorism by fascisistic cells, an arch-villain who nobody could believe to be a closet-Nazi, and a beautiful blonde, Patricia Martin, who first suspects and hates then eventually falls in love with Barry Kane. Hitch's trademark touches of humor are here, too. Patricia is a billboard model who's various roadside ads are a help and comfort to Barry as he hitches a ride with the bad guys, all the way from Las Vegas to NYC. We meet a trucker who's a one-man comedy act ""Someone convinced my wife it was stylish to eat three meals a day."" Field employees of the fascist spy ring grouse about being forgotten or ignored by the ""suits"" just as if they were working for some legit enterprise. During a chase scene into a cinema, audience members laugh at the action of a schlocky comedy/gangster flick as the saboteur cell shoots it out for real with the good guys and accidentially kills a guffawing movie-patron. Awful for the dead 25 years old man, but funny! Hitch liked to use famous monuments in his movies and this is the best instance, with the Statue of Liberty as backdrop and ironic icon! It works even better than the Mt Rushmore scene in NBNW."
20,"Hitchcock once gave an interview where he said he like to direct screenplays that had an ordinary person minding their own business, who's accidentally caught up in an awful chain of events that they can't get out of until the dastardly plot that's behind their troubles is resolved. That way, the audience can feel more sympathy for the hero. We certainly do in this fine film. Barry Kane is only trying to help his fellow-man out by performing acts of kindness and consideration, like helping Fry pick up the letters he dropped at the factory. Barry even returns a lost $100 bill to Fry later on...that was BIG money in 1943!! It's Barry's acts of Christian kindness that get him into trouble and soon, he's wrongly accused of sabotage and murder and will likely hang if he can't clear himself. Similar to The 39 Steps in plot, the hero travels cross-country where he discovers plans for further acts of terrorism by fascisistic cells, an arch-villain who nobody could believe to be a closet-Nazi, and a beautiful blonde, Patricia Martin, who first suspects and hates then eventually falls in love with Barry Kane. Hitch's trademark touches of humor are here, too. Patricia is a billboard model who's various roadside ads are a help and comfort to Barry as he hitches a ride with the bad guys, all the way from Las Vegas to NYC. We meet a trucker who's a one-man comedy act ""Someone convinced my wife it was stylish to eat three meals a day."" Field employees of the fascist spy ring grouse about being forgotten or ignored by the ""suits"" just as if they were working for some legit enterprise. During a chase scene into a cinema, audience members laugh at the action of a schlocky comedy/gangster flick as the saboteur cell shoots it out for real with the good guys and accidentially kills a guffawing movie-patron. Awful for the dead 65 years old man, but funny! Hitch liked to use famous monuments in his movies and this is the best instance, with the Statue of Liberty as backdrop and ironic icon! It works even better than the Mt Rushmore scene in NBNW."
21,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery."
22,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate oldest master Stollery."
23,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate youngest master Stollery."
24,"The Man From Utah opens with a singing cowboy strumming a guitar on horseback. This is how we're introduced to John Weston (John Wayne), heading into town and looking for work. When he helps Marshal Higgins (George pre-Gabby Hayes) foil a bank robbery with his fancy shooting, the marshal offers him an undercover job as a deputy to investigate the Dalton Valley Rodeo. Apparently, the annual winners of the big prize money in the rodeo are a tight knit band of bad boys in the employ of Spike Barton (Ed Peil), who also happens to head up the rodeo committee. Serious challengers to the supremacy of Barton's top henchman Cheyenne Kent (Yakima Canutt) wind up severely ill or dead.  Even back in these 1930's Lone Star Westerns John Wayne had a charismatic presence that hinted at future star quality. If for nothing else, seeing Wayne so young in these films is a real treat. The movie itself clips along at a quick fifty three minute pace, much of it taken up by stock rodeo footage of roping, bulldogging and Indian parade and dance. In the deciding rodeo event, Weston avoids disaster by discovering a poisoned needle inserted into the saddle of ""Dynamite"", a formerly unridden bronco on which he must outlast Cheyenne.  The ending is no surprise, as Barton's bad boys forsake winning the rodeo events and go for the whole thirty thousand dollar pot of prize money deposited in the local bank. But the marshal and Weston are there to foil their plans and save the day for the Dalton Valley Rodeo. And as we've seen before in films like ""Neath the Arizona Skies"" and ""Randy Rides Alone"", Wayne's character closes out the film in a clinch with a pretty young lady, this time the judge's daughter Marjorie Carter (Polly Ann Young), who pined for him throughout the film."
25,"The Man From Utah opens with a singing cowboy strumming a guitar on horseback. This is how we're introduced to John Weston (John Wayne), heading into town and looking for work. When he helps Marshal Higgins (George pre-Gabby Hayes) foil a bank robbery with his fancy shooting, the marshal offers him an undercover job as a deputy to investigate the Dalton Valley Rodeo. Apparently, the annual winners of the big prize money in the rodeo are a tight knit band of bad boys in the employ of Spike Barton (Ed Peil), who also happens to head up the rodeo committee. Serious challengers to the supremacy of Barton's top henchman Cheyenne Kent (Yakima Canutt) wind up severely ill or dead.  Even back in these 1930's Lone Star Westerns John Wayne had a charismatic presence that hinted at future star quality. If for nothing else, seeing Wayne so young in these films is a real treat. The movie itself clips along at a quick fifty three minute pace, much of it taken up by stock rodeo footage of roping, bulldogging and Indian parade and dance. In the deciding rodeo event, Weston avoids disaster by discovering a poisoned needle inserted into the saddle of ""Dynamite"", a formerly unridden bronco on which he must outlast Cheyenne.  The ending is no surprise, as Barton's bad boys forsake winning the rodeo events and go for the whole thirty thousand dollar pot of prize money deposited in the local bank. But the marshal and Weston are there to foil their plans and save the day for the Dalton Valley Rodeo. And as we've seen before in films like ""Neath the Arizona Skies"" and ""Randy Rides Alone"", Wayne's character closes out the film in a clinch with a pretty old lady, this time the judge's daughter Marjorie Carter (Polly Ann Young), who pined for him throughout the film."
26,"The Man From Utah opens with a singing cowboy strumming a guitar on horseback. This is how we're introduced to John Weston (John Wayne), heading into town and looking for work. When he helps Marshal Higgins (George pre-Gabby Hayes) foil a bank robbery with his fancy shooting, the marshal offers him an undercover job as a deputy to investigate the Dalton Valley Rodeo. Apparently, the annual winners of the big prize money in the rodeo are a tight knit band of bad boys in the employ of Spike Barton (Ed Peil), who also happens to head up the rodeo committee. Serious challengers to the supremacy of Barton's top henchman Cheyenne Kent (Yakima Canutt) wind up severely ill or dead.  Even back in these 1930's Lone Star Westerns John Wayne had a charismatic presence that hinted at future star quality. If for nothing else, seeing Wayne so young in these films is a real treat. The movie itself clips along at a quick fifty three minute pace, much of it taken up by stock rodeo footage of roping, bulldogging and Indian parade and dance. In the deciding rodeo event, Weston avoids disaster by discovering a poisoned needle inserted into the saddle of ""Dynamite"", a formerly unridden bronco on which he must outlast Cheyenne.  The ending is no surprise, as Barton's bad boys forsake winning the rodeo events and go for the whole thirty thousand dollar pot of prize money deposited in the local bank. But the marshal and Weston are there to foil their plans and save the day for the Dalton Valley Rodeo. And as we've seen before in films like ""Neath the Arizona Skies"" and ""Randy Rides Alone"", Wayne's character closes out the film in a clinch with a pretty young lady, this time the judge's daughter Marjorie Carter (Polly Ann Young), who pined for him throughout the film."
