,text
10,"Airiz was one of the funniest men I've ever seen, and a huge influence on my life. This movie is limp and awful, and does his memory no credit. The script is cluttered and preserves too many lines from the book intact ( the leg jokes here are incomprehensible). The actors ' performances are uniformly ineffective, a great cast wasted, and the lead, Sean Hughes, delivers Airiz 's belligerent hostilities in a plaintive whine, which misses the point completely. The gentle pacing is a killer as well. Farce should accelerate towards the end. The Goon Shows often did, the novel "" Puckoon "" definitely did, but this film, if anything, slows down just when you want the various elements to smash together in a final climax. Airiz narrated an abridged audio recording of "" Puckoon "" in 1980, with T.P. McKenna, Dermot Kelly, Norma Ronald and Jack Hobbs. Now, that's funny. Ten minutes of that is funnier than this whole film. I believe the LP was transferred to CD, but don't know if it's still in print. There is a movie of "" Adolf Hitler: My Part in his Downfall "" with Jim Dale and Arthur Lowe. It too is a godawful mess, but it's funnier than this thing. It's possible that Airiz 's spirit is too rambunctious for the screen. The other reviewers here are indulging in politeness and wishful thinking. This film fumbles virtually every opportunity and never misses a chance to disappoint."
11,"Theoden was one of the funniest men I've ever seen, and a huge influence on my life. This movie is limp and awful, and does his memory no credit. The script is cluttered and preserves too many lines from the book intact ( the leg jokes here are incomprehensible). The actors ' performances are uniformly ineffective, a great cast wasted, and the lead, Sean Hughes, delivers Theoden 's belligerent hostilities in a plaintive whine, which misses the point completely. The gentle pacing is a killer as well. Farce should accelerate towards the end. The Goon Shows often did, the novel "" Puckoon "" definitely did, but this film, if anything, slows down just when you want the various elements to smash together in a final climax. Theoden narrated an abridged audio recording of "" Puckoon "" in 1980, with T.P. McKenna, Dermot Kelly, Norma Ronald and Jack Hobbs. Now, that's funny. Ten minutes of that is funnier than this whole film. I believe the LP was transferred to CD, but don't know if it's still in print. There is a movie of "" Adolf Hitler: My Part in his Downfall "" with Jim Dale and Arthur Lowe. It too is a godawful mess, but it's funnier than this thing. It's possible that Theoden 's spirit is too rambunctious for the screen. The other reviewers here are indulging in politeness and wishful thinking. This film fumbles virtually every opportunity and never misses a chance to disappoint."
12,"A German freshman, Stefan hitch hikes to Paris during summer break were he falls for a mysterious young woman he meets in the Paris freak scene. He then follows her in the famous isle of Ibiza, the hippie joint were meets Wolf, a man who throws HitlerJugend knives, owns bars and hotels and keeps Estelle under his thumb with dope. The couple tries to escape Wolf, Stefan gets hooked with dope and jealousy for Estelle, who's groovy and a free spirit. Great photography and music, plot is quite usual for the period but it's not an exploitation kind of movie, cold and dramatic. The moral is quite strong ( he was looking for the sun ...) but I would not say it's a film against drugs even it puts enphasy on drug use."
13,"A German freshman, Eldridge hitch hikes to Paris during summer break were he falls for a mysterious young woman he meets in the Paris freak scene. He then follows her in the famous isle of Ibiza, the hippie joint were meets Wolf, a man who throws HitlerJugend knives, owns bars and hotels and keeps Estelle under his thumb with dope. The couple tries to escape Wolf, Eldridge gets hooked with dope and jealousy for Estelle, who's groovy and a free spirit. Great photography and music, plot is quite usual for the period but it's not an exploitation kind of movie, cold and dramatic. The moral is quite strong ( he was looking for the sun ...) but I would not say it's a film against drugs even it puts enphasy on drug use."
14,"A German freshman, Budivid hitch hikes to Paris during summer break were he falls for a mysterious young woman he meets in the Paris freak scene. He then follows her in the famous isle of Ibiza, the hippie joint were meets Wolf, a man who throws HitlerJugend knives, owns bars and hotels and keeps Estelle under his thumb with dope. The couple tries to escape Wolf, Budivid gets hooked with dope and jealousy for Estelle, who's groovy and a free spirit. Great photography and music, plot is quite usual for the period but it's not an exploitation kind of movie, cold and dramatic. The moral is quite strong ( he was looking for the sun ...) but I would not say it's a film against drugs even it puts enphasy on drug use."
15,"I was quite impressed with this movie as a child of eight or nine. The gangsters seemed very real and threatening to me, and I could see why people would have been afraid of someone like Dillinger. Seeing it as an adult, it seemed almost comical, owing to the overdone narration and jarring details like Thirties gangsters driving cars that looked like they were from the Fifties. There is a certain gritty, unglamorous reality to the way the criminals are portrayed, but the overall effect is more like a bad soap opera. The most memorable and most unintentionally funny bit that sticks with me is the scene where Ma Barker and her sons are shooting it out with the FBI and the sons are killed. The narrator says something like "" Perhaps in that moment, for the only time in her life, Ma Barker became a real mother "". This is meant to be a moment of great tragedy and pathos, as Ma finally realizes how she's destroyed her family out of her own greed, but instead, it provokes laughter. A very odd film that is rarely shown anywhere these days. Gangster movie buffs might enjoy it, but more as a curiosity than a real movie."
16,"I was quite impressed with this movie as a child of eight or nine. The gangsters seemed very real and threatening to me, and I could see why people would have been afraid of someone like Dillinger. Seeing it as an adult, it seemed almost comical, owing to the overdone narration and jarring details like Thirties gangsters driving cars that looked like they were from the Fifties. There is a certain gritty, unglamorous reality to the way the criminals are portrayed, but the overall effect is more like a bad soap opera. The most memorable and most unintentionally funny bit that sticks with me is the scene where Bertička and her sons are shooting it out with the FBI and the sons are killed. The narrator says something like "" Perhaps in that moment, for the only time in her life, Bertička became a real mother "". This is meant to be a moment of great tragedy and pathos, as Ma finally realizes how she 's destroyed her family out of her own greed, but instead, it provokes laughter. A very odd film that is rarely shown anywhere these days. Gangster movie buffs might enjoy it, but more as a curiosity than a real movie."
17,"I was quite impressed with this movie as a child of eight or nine. The gangsters seemed very real and threatening to me, and I could see why people would have been afraid of someone like Dillinger. Seeing it as an adult, it seemed almost comical, owing to the overdone narration and jarring details like Thirties gangsters driving cars that looked like they were from the Fifties. There is a certain gritty, unglamorous reality to the way the criminals are portrayed, but the overall effect is more like a bad soap opera. The most memorable and most unintentionally funny bit that sticks with me is the scene where Urška and her sons are shooting it out with the FBI and the sons are killed. The narrator says something like "" Perhaps in that moment, for the only time in her life, Urška became a real mother "". This is meant to be a moment of great tragedy and pathos, as Ma finally realizes how she 's destroyed her family out of her own greed, but instead, it provokes laughter. A very odd film that is rarely shown anywhere these days. Gangster movie buffs might enjoy it, but more as a curiosity than a real movie."
18,"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Steven Seagal would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that Steven Seagal is trying to move back towards the type of characters he portrayed in his more popular movies."
19,"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking ﻿Francesco would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that ﻿Francesco is trying to move back towards the type of characters he portrayed in his more popular movies."
20,"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Eldridge would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that Eldridge is trying to move back towards the type of characters he portrayed in his more popular movies."
21,"Um, hello .. Rainbow Brite .. the name alone is hard to take it seriously, like she could be the cousin of Strawberry Shortcake .. but when you're a kid, this is definitely serious stuff. So, there's this vile, snotty, spoiled girl and she wants Rainbow Brites belt, amongst other things, ie the light of the whole universe, and Rainbow Brite and her friend Cris are bound and determined to stop her. As I remember, Murky and Lurky had a minor role in this production. Maybe they wanted too much money? So anyway, snotty, evil girl has a powerful jewel and she channels it's power to take Rainbow's belt .. imagine? But somehow, Rainbow gets her belt back and reenergizes it with "" star sprinkles "" and kicks the bad girls ' butt with the help of Cris and his prism bracelet, and they also save the whole universe in the process. So good triumphs over evil, niceness triumphs over rudeness, and Rainbow Brite and the Color Kids are once again safe to spread color and joy for all mankind."
22,"Um, hello .. Rainbow Brite .. the name alone is hard to take it seriously, like she could be the cousin of Strawberry Shortcake .. but when you're a kid, this is definitely serious stuff. So, there's this vile, snotty, spoiled girl and she wants Rainbow Brites belt, amongst other things, ie the light of the whole universe, and Rainbow Brite and her friend Fabijano are bound and determined to stop her. As I remember, Murky and Lurky had a minor role in this production. Maybe they wanted too much money? So anyway, snotty, evil girl has a powerful jewel and she channels it's power to take Rainbow's belt .. imagine? But somehow, Rainbow gets her belt back and reenergizes it with "" star sprinkles "" and kicks the bad girls ' butt with the help of Fabijano and his prism bracelet, and they also save the whole universe in the process. So good triumphs over evil, niceness triumphs over rudeness, and Rainbow Brite and the Color Kids are once again safe to spread color and joy for all mankind."
23,"Um, hello .. Rainbow Brite .. the name alone is hard to take it seriously, like she could be the cousin of Strawberry Shortcake .. but when you're a kid, this is definitely serious stuff. So, there's this vile, snotty, spoiled girl and she wants Rainbow Brites belt, amongst other things, ie the light of the whole universe, and Rainbow Brite and her friend Ville-Veikko are bound and determined to stop her. As I remember, Murky and Lurky had a minor role in this production. Maybe they wanted too much money? So anyway, snotty, evil girl has a powerful jewel and she channels it's power to take Rainbow's belt .. imagine? But somehow, Rainbow gets her belt back and reenergizes it with "" star sprinkles "" and kicks the bad girls ' butt with the help of Ville-Veikko and his prism bracelet, and they also save the whole universe in the process. So good triumphs over evil, niceness triumphs over rudeness, and Rainbow Brite and the Color Kids are once again safe to spread color and joy for all mankind."
24,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors -- those without radioactive contamination -- are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan ( William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra ( Marina Costa) and Erasmus ( Harrison Muller Jr.). Alan has been trained to kill by former NYPD cop Sam ( Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
25,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors -- those without radioactive contamination -- are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan ( William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra ( Marina Costa) and Erasmus ( Harrison Muller Jr.). Mourão has been trained to kill by former NYPD cop Sam ( Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
26,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors -- those without radioactive contamination -- are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan ( William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra ( Marina Costa) and Erasmus ( Harrison Muller Jr.). Jivavijaya has been trained to kill by former NYPD cop Sam ( Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
27,"Every movie Quentin Tarantino has made has become progressively worse. I'd like to believe that most people would agree with that statement, but seeing as "" Inglourious(sic) Basterds(sic) "" has an 8.5/10 from over 100,000 ratings, it doesn't seem like the general moviegoing public has any sense. Even his best work, Reservoir Dogs, wasn't a ' masterpiece. ' The trouble is that claiming that you like Tarantino's work has become trendy. As soon as that happens, you get boatloads of people ready and willing to hop on another bandwagon. They will ignore laughably terrible acting, and utterly selfindulgent writing just so they can be part of the exclusive club called "" everyone. "" This movie is so terrible, that I swear it must be some sort of twisted joke by Tarantino to see how much torture his fans will tolerate and still praise him. Like another reviewer has already said: "" Previous Tarantino movies were from a guy in love with other movies. This one is from a guy in love with his own writing. "" I couldn't agree more. This movie is nothing more than selfindulgent and injoke riddled writing paired with acting ability taken right out of a high school play. But, thanks to the general movie going public, I'm sure it will still go down as one of the best movies ever made. Bravo, Tarantino. You've pulledoff one of the best practical jokes of all time."
