prediction,original
0,"An Epic Story of Hope constrained by budget and limited artistic ambition. Seeing as Terrence Malick produced this, I expected something haunting and lyrical. Instead, we get a typical Norwegian coproduction ( "" Revolution "" with Al Pacino, anyone?), wherequite possiblygood intentions are scuppered by a dreadful screenplay, and where many of the characters are reduced to stereotypes. The "" meTarzanyouJane "" English dialogue between the nonEnglishspeaking protagonists is particularly cringeworthy   one could speculate whether Nick Nolte and Tim Roth adlibbed their own, as they almost sound like real people. The story is loaded with implausibility: we are expected to believe that Binh can speak a smattering of English after having spent his entire life living as a peasant slave ( his vocabulary, but unfortunately not grammatical command, increases impressively in the Malayan refugee camp, without the benefit of night classes). Coincidence is rife; I wonder whether an hour or two has been edited from the first third: he tracks down his mother in Ho Chi Minh City almost immediatelyafter bumping into his thirty year younger half brother, who nonchalantly recognises him! Mum gives him a gold locket ( or something similar of great value) as they part, but this is never referred to again. His relationship with "" Me Dead Inside "" Ling is supposed to provide the obligatory "" love interest "", but feels as artificial as Leonardo and Cameron in "" Gangs Of New York "".   The voyage in the rust bucket of a boat does convey a sense of the appalling conditions that human trafficking entails. Indeed, the only time the film is remotely exciting and unpredictable, is the jerky, handheld footage shot from the bridge during choppy weather conditions. ( Incidentally, a boat cruise from Malaysia to New York via The Cape Of Good Hope and the African coast, without stopping for fuel or supplies, is certainly an epic journey). The beautiful shot of the New York skyline echoes Malick's use of magic hour, but I want to know why the Coast Guard didn't show up. Perhaps they were watching the Super Bowl, or something. Of course, Binh manages to track down his blind old Dad on a remote farm in Texas, with the same navigational flair he displayed in Ho Chi Minh City. I was impressed at how Nick Nolte could wander around digging fields and feeding horses on a large ranch without the aid of a guide dog or white stick. For demonstration of how a story about the travails befalling refugees could be structured and shot on a small budget, check out Michael Winterbottom's far superior "" In This World ""."
0,"As a documentary, this is laughable in a campy sort of way -- a schlocky collection of recreated Biblical tableaux mixed in with solemn interviews of socalled "" experts. "" Think of it as an infommercial which pushes Jesus instead of thighmasters.   However, the detailed crucifixion scene is, in terms of historical accuracy, superior to similar scenes in such widescreen Hollywood extravaganzas as "" BenHur, "" "" King of Kings, "" and "" The Greatest Story Ever Told. "" Rather than dragging his entire cross to Golgotha, for example, John Rubinstein simply carries his crossbeam strapped across his shoulders to his outstretched arms. Nails aren't driven through his palms but instead through his wrists. His feet aren't nailed separately but one is placed over the other so that just one nail need be used. Incidentally, Rubinstein's flogging prior to his crucifixion ranks 35th in the book, "" Lash! The Hundred Great Scenes of Men Being Whipped in the Movies. "" Of course, Rubinstein and the two thieves wear modest loincloths, which probably isn't true to the shameful reality of Roman crucifixions, but allowances must be made. Curiously, the "" good "" thief is positioned on the left hand of Jesus, which goes against a longstanding tradition. Just why this thief is played by a pudgy, overweight man is, however, a mystery, especially in view of the fact that the "" bad "" thief is something of a "" hunk. """
1,"As a documentary, this is laughable in a campy sort of way -- a schlocky collection of recreated Biblical tableaux mixed in with solemn interviews of socalled "" experts. "" Think of it as an infommercial which pushes Jesus instead of thighmasters.   However, the detailed crucifixion scene is, in terms of historical accuracy, superior to similar scenes in such widescreen Hollywood extravaganzas as "" BenHur, "" "" King of Kings, "" and "" The Greatest Story Ever Told. "" Rather than dragging his entire cross to Golgotha, for example, John Rubinstein simply carries his crossbeam strapped across his shoulders to his outstretched arms. Nails aren't driven through his palms but instead through his wrists. His feet aren't nailed separately but one is placed over the other so that just one nail need be used. Incidentally, Rubinstein's flogging prior to his crucifixion ranks 35th in the book, "" Lash! The Hundred Great Scenes of Men Being Whipped in the Movies. "" Of course, Rubinstein and the two thieves wear modest loincloths, which probably isn't true to the shameful reality of Roman crucifixions, but allowances must be made. Curiously, the "" good "" thief is positioned on the left hand of Jesus, which goes against a longstanding tradition. Just why this thief is played by a pudgy, overweight man is, however, a mystery, especially in view of the fact that the "" bad "" thief is something of a "" hunk. """
1,"As a local performer, I thought that "" Grease "" showcased what Broadway producers are looking for and it highlighted a small bit of the acting population. Although my favorites did not win ( but came in second), I enjoyed comparing myself to them and seeing what I liked and where I could improve as a performer. They brought in Olivia NewtonJohn because she is the obvious link between the Broadway production and television audiences. They sang songs from the movie ( "" Hopelessly Devoted, "" et al) because these songs will be included in the new production. I agree with the earlier comment made that the B'Way cast looks so much older, but you must bear in mind that these are people who have been on Broadway and worked their tails off to be there. If the entire cast was green and fresh then I believe that would have compromised the casting process by which producers choose their talent."
0,"As a local performer, I thought that "" Grease "" showcased what Broadway producers are looking for and it highlighted a small bit of the acting population. Although my favorites did not win ( but came in second), I enjoyed comparing myself to them and seeing what I liked and where I could improve as a performer. They brought in Olivia NewtonJohn because she is the obvious link between the Broadway production and television audiences. They sang songs from the movie ( "" Hopelessly Devoted, "" et al) because these songs will be included in the new production. I agree with the earlier comment made that the B'Way cast looks so much older, but you must bear in mind that these are people who have been on Broadway and worked their tails off to be there. If the entire cast was green and fresh then I believe that would have compromised the casting process by which producers choose their talent."
1,"As much as I love the story of David Copperfield, I can not claim to have enjoyed this movie. It was probably the second worst movie I have ever seen. One problem I see is that the magnitude of the novel asks for a miniseries of several hours, rather than a regular movie. It is just impossible to capture a significant amount of the events that take place in the story in two hours. I dis not enjoy the brooding flashback format. It was disjointed and would be impossible for someone who did not already know the story to fully grasp. Also, I don't think the filmmakers interpreted Copperfield's personality correctly. The idea of him strolling around on a beach moaning about his life seems inconsistent with the proactive, forwardthinking nature Dickens gave him in the novel. Agnes also bothered me. She came across as a ditsy household decoration, rather than a strong woman. Dora was perfect, however. This movie was fraught with problems, and I wait eagerly for someone to make a decent screen version."
0,"As much as I love the story of David Copperfield, I can not claim to have enjoyed this movie. It was probably the second worst movie I have ever seen. One problem I see is that the magnitude of the novel asks for a miniseries of several hours, rather than a regular movie. It is just impossible to capture a significant amount of the events that take place in the story in two hours. I dis not enjoy the brooding flashback format. It was disjointed and would be impossible for someone who did not already know the story to fully grasp. Also, I don't think the filmmakers interpreted Copperfield's personality correctly. The idea of him strolling around on a beach moaning about his life seems inconsistent with the proactive, forwardthinking nature Dickens gave him in the novel. Agnes also bothered me. She came across as a ditsy household decoration, rather than a strong woman. Dora was perfect, however. This movie was fraught with problems, and I wait eagerly for someone to make a decent screen version."
1,"Average adventure movie that took a serious story and "" Holywoodised "" it. The watering down effect done particularly towards the average script snatched away this movie's place as a would be solid classic. Why water down such a great storyline?Probably because it deals with "" sensitive "" colonial subject matters and the producers do not want to create political heat, just quick profits thank you. The directing, cinematography and soundtrack and acting was good. The screenplay was average. The charm of Connery made up for his wrong Arabic accent and all the scenes with President T. Roosevelt were masterpiece takes. The costumes/ sets here was very good. Too bad we did not get more of a serious historical drama since this is what the story demands. Only for big fans of the lead actors or fans of exotic Romance/ Adventure Holywood movies ....."
0,"Average adventure movie that took a serious story and "" Holywoodised "" it. The watering down effect done particularly towards the average script snatched away this movie's place as a would be solid classic. Why water down such a great storyline?Probably because it deals with "" sensitive "" colonial subject matters and the producers do not want to create political heat, just quick profits thank you. The directing, cinematography and soundtrack and acting was good. The screenplay was average. The charm of Connery made up for his wrong Arabic accent and all the scenes with President T. Roosevelt were masterpiece takes. The costumes/ sets here was very good. Too bad we did not get more of a serious historical drama since this is what the story demands. Only for big fans of the lead actors or fans of exotic Romance/ Adventure Holywood movies ....."
1,"Back in the 60's, this grim study of Joy, a young proletarian wife, was the introduction to the career of Ken Loach, who became one of the most distinguished and respected British filmmakers of all time. By then I knew very little about Brecht, politics or the reality of the underprivileged, and I was quite impressed by the aesthetic of the film, its free style, its austere color cinematography, and Joy's monologues in front of the camera. I was also much surprised to find that Terence Stamp ( who had become a celebrity, thanks to "" Billy Budd "", "" The Collector "" and "" Modesty Blaise "") had so little screen time. Although 20th Century Fox distributed "" Poor Cow "" in Panama, Loach did not stay in mainstream cinema ( which this film hardly is) and I lost contact with his films. I just heard of his successes, "" Kes "", "" Family Life "", "" Black Jack "". until I caught up in the 80's. The beautiful title song by Donovan, by the way, is available in his anthology "" Troubadour ""."
0,"Back in the 60's, this grim study of Joy, a young proletarian wife, was the introduction to the career of Ken Loach, who became one of the most distinguished and respected British filmmakers of all time. By then I knew very little about Brecht, politics or the reality of the underprivileged, and I was quite impressed by the aesthetic of the film, its free style, its austere color cinematography, and Joy's monologues in front of the camera. I was also much surprised to find that Terence Stamp ( who had become a celebrity, thanks to "" Billy Budd "", "" The Collector "" and "" Modesty Blaise "") had so little screen time. Although 20th Century Fox distributed "" Poor Cow "" in Panama, Loach did not stay in mainstream cinema ( which this film hardly is) and I lost contact with his films. I just heard of his successes, "" Kes "", "" Family Life "", "" Black Jack "". until I caught up in the 80's. The beautiful title song by Donovan, by the way, is available in his anthology "" Troubadour ""."
0,"Beautiful images, propaganda and history as toy. The ingredients of this film, good, interesting but with many shadows. Politicall shadows. Jefferson is more than the hero of a mythical America. He is silhouette of a vision about life and society, an extraordinary thinker, teacher of large part of North America. In film is only Superman. The delicate contour of ideas are crushed. The subtle birth of essential truth is forgotten. And Jefferson is basic instrument for create a good image of American realities. The end, triumphal and fake, romance and heroic, is gun suicide of a story who may be tall with more wisdom. And the war against "" Avatar "" is another gray stain. For one who heard nothing about Jefferson, movie is a good beginning. For the othersdisillusion. It is like the precious silk of a tailor. But the tailor is fascinating about silk and the clothes are only ordinary cloth. So, a sad experience. Slices of beauty and boring lakes, patriotic lesson and the crush of expectation. A film who must impressive. And the ash of a story who could be magnificent."
1,"Beautiful images, propaganda and history as toy. The ingredients of this film, good, interesting but with many shadows. Politicall shadows. Jefferson is more than the hero of a mythical America. He is silhouette of a vision about life and society, an extraordinary thinker, teacher of large part of North America. In film is only Superman. The delicate contour of ideas are crushed. The subtle birth of essential truth is forgotten. And Jefferson is basic instrument for create a good image of American realities. The end, triumphal and fake, romance and heroic, is gun suicide of a story who may be tall with more wisdom. And the war against "" Avatar "" is another gray stain. For one who heard nothing about Jefferson, movie is a good beginning. For the othersdisillusion. It is like the precious silk of a tailor. But the tailor is fascinating about silk and the clothes are only ordinary cloth. So, a sad experience. Slices of beauty and boring lakes, patriotic lesson and the crush of expectation. A film who must impressive. And the ash of a story who could be magnificent."
0,"Book of Revelations starts very well. Daniel, an egomaniac dancer is kidnapped, abused and sexually raped by three masked women. After that, nothing else really happens. There is some hint of rediscovery but the movie gives nor explanation nor a real ending. Daniel reactions after the abuse are very basic. He quits dancing, has sex with every women around and finally starting a relation with very simple and common woman. I have seen a good share of arthouse movies but this has something missing in it. The main leads are fine; but some characters does not seems to be completely defined."
1,"Book of Revelations starts very well. Daniel, an egomaniac dancer is kidnapped, abused and sexually raped by three masked women. After that, nothing else really happens. There is some hint of rediscovery but the movie gives nor explanation nor a real ending. Daniel reactions after the abuse are very basic. He quits dancing, has sex with every women around and finally starting a relation with very simple and common woman. I have seen a good share of arthouse movies but this has something missing in it. The main leads are fine; but some characters does not seems to be completely defined."
0,"Chuck Jones's ' Odorable Kitty ' is the cartoon that introduced Pepe Le Pew to the world   sort of. There are a few key differences between the Pepe we know and love ( or hate, in the case of some people) and the character in this cartoon. For one, the disguised cat who Pepe amorously pursues in ' Odorable Kitty ' is distinctly male. Also, Pepe is exposed as a fraud whose real name is Henry at the cartoon's climax, his French accent dropping away when his wife and family turn up. Pepe is not even the lead character here, the focus favouring the putupon cat who disguises himself as a skunk to scare off his enemies. For the most part, the storyline largely follows the usual format of a Pepe Le Pew cartoon but Pepe's aggressive courtship is lacking the usual wisecracks and straight to camera addresses that make him such a great character. He is also not nearly as handsome as he would become and rather awkwardly animated. In fact, ' Odorable Kitty ' is a fairly ugly and clumsy looking cartoon all round. Its main source of appeal comes from its concept which was original at this stage before it became the template for every Pepe Le Pew cartoon that followed. This subsequent development has robbed ' Odorable Kitty ' of any impact whatsoever and to modern viewers it just looks like a rather dull Pepe Le Pew short with a weird surprise ending. As a child, I hated Pepe Le Pew. As an adult, able to appreciate his more sophisticated, verbal and risqu humour, I love the character and most of his cartoons. ' Odorable Kitty ' makes me feel like a child again!"
1,"Chuck Jones's ' Odorable Kitty ' is the cartoon that introduced Pepe Le Pew to the world   sort of. There are a few key differences between the Pepe we know and love ( or hate, in the case of some people) and the character in this cartoon. For one, the disguised cat who Pepe amorously pursues in ' Odorable Kitty ' is distinctly male. Also, Pepe is exposed as a fraud whose real name is Henry at the cartoon's climax, his French accent dropping away when his wife and family turn up. Pepe is not even the lead character here, the focus favouring the putupon cat who disguises himself as a skunk to scare off his enemies. For the most part, the storyline largely follows the usual format of a Pepe Le Pew cartoon but Pepe's aggressive courtship is lacking the usual wisecracks and straight to camera addresses that make him such a great character. He is also not nearly as handsome as he would become and rather awkwardly animated. In fact, ' Odorable Kitty ' is a fairly ugly and clumsy looking cartoon all round. Its main source of appeal comes from its concept which was original at this stage before it became the template for every Pepe Le Pew cartoon that followed. This subsequent development has robbed ' Odorable Kitty ' of any impact whatsoever and to modern viewers it just looks like a rather dull Pepe Le Pew short with a weird surprise ending. As a child, I hated Pepe Le Pew. As an adult, able to appreciate his more sophisticated, verbal and risqu humour, I love the character and most of his cartoons. ' Odorable Kitty ' makes me feel like a child again!"
0,"Curse of Michael Myers is a very frustrating piece to deal with for a fan of the Halloween series. After a very disappointing letdown in Halloween 5, the series reached a near ebb in plot lines, with a silly devolution into witchcraft and a teenage cult dedicated to the worship of Michael Myers. "" Curse of Michael Myers "" ups the ante in blood and gore, but really represents a decay in the series ' integrity. It's too bad to, as this is the last movie for Donald Pleasance as the character of Dr. Loomis. Pleasance has some good screen moments ( precious ones if your a fan of the series) as the now very aged and as he says "" very retired doctor "". Sadly he died before the movie was completed, and it is very apparent at the conclusion of the film that the stories original climatic scene was never realized. Right from the beginning credits, Halloween 6 has more of the feel of a madeforTV movie then that of the blockbuster horror flick that it started out as in 1978. Any loyal Halloween alumni should have demanded more from this film, ... Dr. Loomis and Donald Pleasance deserved more."
1,"Curse of Michael Myers is a very frustrating piece to deal with for a fan of the Halloween series. After a very disappointing letdown in Halloween 5, the series reached a near ebb in plot lines, with a silly devolution into witchcraft and a teenage cult dedicated to the worship of Michael Myers. "" Curse of Michael Myers "" ups the ante in blood and gore, but really represents a decay in the series ' integrity. It's too bad to, as this is the last movie for Donald Pleasance as the character of Dr. Loomis. Pleasance has some good screen moments ( precious ones if your a fan of the series) as the now very aged and as he says "" very retired doctor "". Sadly he died before the movie was completed, and it is very apparent at the conclusion of the film that the stories original climatic scene was never realized. Right from the beginning credits, Halloween 6 has more of the feel of a madeforTV movie then that of the blockbuster horror flick that it started out as in 1978. Any loyal Halloween alumni should have demanded more from this film, ... Dr. Loomis and Donald Pleasance deserved more."
0,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors -- those without radioactive contamination -- are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan ( William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra ( Marina Costa) and Erasmus ( Harrison Muller Jr.). Alan has been trained to kill by former NYPD cop Sam ( Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
1,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors -- those without radioactive contamination -- are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan ( William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra ( Marina Costa) and Erasmus ( Harrison Muller Jr.). Alan has been trained to kill by former NYPD cop Sam ( Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
1,"Ed ( Kel Mitchell) is a teenager who lives for his job at Good Burger, a small but friendly neighborhood hamburger stand, while his buddy Dexter ( Kennan Thompson) also works there, but lack Ed's singleminded devotion to his job he's there because he accidentally destroyed the car of his teacher Mr. Wheat ( Sinbad) and has to raise money to pay the damages. When Mondo Burger, a mammoth fastfoot chain, opens across the street, it looks like Good Burger is history, until Ed formulates a secret sauce that brings hundreds of new customers to their door. However, the monomaniacal manager of Mondo Burger, Kurt ( Jan Schweiterman), is determined to get his hands on the sauce and put Good Burger out of business. Meanwhile, Ed and Dexter must rescue Otis ( Abe Vigoda), the world's oldest fast food employee, from the Demented Hills Asylum, and Ed might just find love with Monique ( Shar Jackson) if he could take his mind off the burgers long enough to pay attention to her. Good Burger is a comedy directed for kids, decent story, acting, and overall a pretty harmless kids movie."
0,"Ed ( Kel Mitchell) is a teenager who lives for his job at Good Burger, a small but friendly neighborhood hamburger stand, while his buddy Dexter ( Kennan Thompson) also works there, but lack Ed's singleminded devotion to his job he's there because he accidentally destroyed the car of his teacher Mr. Wheat ( Sinbad) and has to raise money to pay the damages. When Mondo Burger, a mammoth fastfoot chain, opens across the street, it looks like Good Burger is history, until Ed formulates a secret sauce that brings hundreds of new customers to their door. However, the monomaniacal manager of Mondo Burger, Kurt ( Jan Schweiterman), is determined to get his hands on the sauce and put Good Burger out of business. Meanwhile, Ed and Dexter must rescue Otis ( Abe Vigoda), the world's oldest fast food employee, from the Demented Hills Asylum, and Ed might just find love with Monique ( Shar Jackson) if he could take his mind off the burgers long enough to pay attention to her. Good Burger is a comedy directed for kids, decent story, acting, and overall a pretty harmless kids movie."
1,"Even though he only made his debut film in Australia and left for Great Britain and then America to continue his career, Australians will tell you that the greatest film star they ever produced was Errol Flynn. I'm not sure he ever even went back to Australia after his breakout success in Captain Blood. Still I attribute this film to the well known Aussie irreverence for trashing the reputation of one of their own. Part of the problem in telling Errol Flynn's life story was that he told enough tall tales in his life right up to the very end in his memoir, My Wicked Wicked Ways. I could see that a lot of the film was based on that and upon reading between the lines of that book. His mother's infidelity to his father was not written, but could have been inferred in reading My Wicked Wicked Ways. He didn't particularly like the woman, that is clear from a few sources.   I wish the film had dealt more with his New Guinea adventures, that to me was the most interesting part of My Wicked Wicked Ways. As for his street fighting in the Depression, I tend to disbelieve that. Even if he had been successful at it, I guarantee that enough of that would have ruined his looks and he would never have had a career as a leading man. Still the folks down under seem to think the atmosphere of Sydney during the Depression was captured well and Guy Pearce is a charismatic Errol Flynn. American audiences know him best as the uptight, but honest Lieutenant Exley in LA Confidential which came out the same year as Flynn. But LA Confidential was a far better film."
0,"Even though he only made his debut film in Australia and left for Great Britain and then America to continue his career, Australians will tell you that the greatest film star they ever produced was Errol Flynn. I'm not sure he ever even went back to Australia after his breakout success in Captain Blood. Still I attribute this film to the well known Aussie irreverence for trashing the reputation of one of their own. Part of the problem in telling Errol Flynn's life story was that he told enough tall tales in his life right up to the very end in his memoir, My Wicked Wicked Ways. I could see that a lot of the film was based on that and upon reading between the lines of that book. His mother's infidelity to his father was not written, but could have been inferred in reading My Wicked Wicked Ways. He didn't particularly like the woman, that is clear from a few sources.   I wish the film had dealt more with his New Guinea adventures, that to me was the most interesting part of My Wicked Wicked Ways. As for his street fighting in the Depression, I tend to disbelieve that. Even if he had been successful at it, I guarantee that enough of that would have ruined his looks and he would never have had a career as a leading man. Still the folks down under seem to think the atmosphere of Sydney during the Depression was captured well and Guy Pearce is a charismatic Errol Flynn. American audiences know him best as the uptight, but honest Lieutenant Exley in LA Confidential which came out the same year as Flynn. But LA Confidential was a far better film."
0,Ever sense i was a kid i have loved this movie. i have always been a fan of Joseph Mazzello. the kid had pure talent in both this movie and Jurassic Park. I have been looking for the DVD or VHS to purchase at a store near me i ca nt seem to find it i hope it goes on DVD! well anyways great movie. If anyone knows where i can find this please contact me at wrp24@adelphia.net. Also can anyone really explain what happened with bobby. was her real or was he fake and was he mikes imaginary friend and his escape? lol I'm clueless. my favorite part had to be definitely where they made the monster juice and spilled it all over the kitchen its funny but also a sad part as well because of what happens to bobby due to the mess .. i would've liked to see the boyfriends face because he played his part pretty good. i think the mother was a great actress i think her name is Lorraine Bracco or some sorta name like that .. well that s all please contact me wrp24
1,Ever sense i was a kid i have loved this movie. i have always been a fan of Joseph Mazzello. the kid had pure talent in both this movie and Jurassic Park. I have been looking for the DVD or VHS to purchase at a store near me i ca nt seem to find it i hope it goes on DVD! well anyways great movie. If anyone knows where i can find this please contact me at wrp24@adelphia.net. Also can anyone really explain what happened with bobby. was her real or was he fake and was he mikes imaginary friend and his escape? lol I'm clueless. my favorite part had to be definitely where they made the monster juice and spilled it all over the kitchen its funny but also a sad part as well because of what happens to bobby due to the mess .. i would've liked to see the boyfriends face because he played his part pretty good. i think the mother was a great actress i think her name is Lorraine Bracco or some sorta name like that .. well that s all please contact me wrp24
0,"Every movie Quentin Tarantino has made has become progressively worse. I'd like to believe that most people would agree with that statement, but seeing as "" Inglourious(sic) Basterds(sic) "" has an 8.5/10 from over 100,000 ratings, it doesn't seem like the general moviegoing public has any sense. Even his best work, Reservoir Dogs, wasn't a ' masterpiece. ' The trouble is that claiming that you like Tarantino's work has become trendy. As soon as that happens, you get boatloads of people ready and willing to hop on another bandwagon. They will ignore laughably terrible acting, and utterly selfindulgent writing just so they can be part of the exclusive club called "" everyone. "" This movie is so terrible, that I swear it must be some sort of twisted joke by Tarantino to see how much torture his fans will tolerate and still praise him. Like another reviewer has already said: "" Previous Tarantino movies were from a guy in love with other movies. This one is from a guy in love with his own writing. "" I couldn't agree more. This movie is nothing more than selfindulgent and injoke riddled writing paired with acting ability taken right out of a high school play. But, thanks to the general movie going public, I'm sure it will still go down as one of the best movies ever made. Bravo, Tarantino. You've pulledoff one of the best practical jokes of all time."
1,"Every movie Quentin Tarantino has made has become progressively worse. I'd like to believe that most people would agree with that statement, but seeing as "" Inglourious(sic) Basterds(sic) "" has an 8.5/10 from over 100,000 ratings, it doesn't seem like the general moviegoing public has any sense. Even his best work, Reservoir Dogs, wasn't a ' masterpiece. ' The trouble is that claiming that you like Tarantino's work has become trendy. As soon as that happens, you get boatloads of people ready and willing to hop on another bandwagon. They will ignore laughably terrible acting, and utterly selfindulgent writing just so they can be part of the exclusive club called "" everyone. "" This movie is so terrible, that I swear it must be some sort of twisted joke by Tarantino to see how much torture his fans will tolerate and still praise him. Like another reviewer has already said: "" Previous Tarantino movies were from a guy in love with other movies. This one is from a guy in love with his own writing. "" I couldn't agree more. This movie is nothing more than selfindulgent and injoke riddled writing paired with acting ability taken right out of a high school play. But, thanks to the general movie going public, I'm sure it will still go down as one of the best movies ever made. Bravo, Tarantino. You've pulledoff one of the best practical jokes of all time."
0,"First off, if you want to make a good film, don't cram all your exposition into the last 10 minutes. The viewer is expected to be bewildered for nearly two hours, only to have Margo's father explain everything to Alex very late in the film. To make matters worse, the scriptwriter decided it wasn't enough to have the basic mystery solved, but adds in a completely unnecessary murder that we knew nothing about ( involving Alex's father!). There's some serious motivation issues with characters also. Margo's father's choices don't seem to make sense once the film is over. Why didn't he just kill Philippe's father and be done with it? Instead, a complicated plot to obscure the truth is concocted, but one which ensures that everyone will be in physical jeopardy for years ( including the completely innocent photographer, who gets murdered by Philippe's father's thugs). Although Alex is a doctor ( whom one would think is relatively bright), he chooses to flee the police, during which he not only endangers his own life, but those whom he involves in a nasty pileup on the freeway. Why was Margo's friend so keen on keeping her promise to Margo, once all the crap hits the fan for Alex? And are we to think that Margo's father would rather kill himself rather than go to prison? What about his wife? Did he consider her wishes? Those are some of the main problems. Then there are some nasty details, like: why was her father there the night of her faked death? How did he get a hold of the junkie's body on such short notice and get it back quickly in order to bury it with the other two? Alex's friend Bruno seems overeager to be part of the mayhem, in which he and his friends have to kill for Alex, notwithstanding the perceived debt he owes Alex for saving his son's life. What good would the photos of Margo do? They don't implicate Philippe at all. And why would Margo have the safety deposit box key handy that night for her wouldbe abductors to take? Did I miss some other things? Probably. Minor irritations of mine include the fact that although Alex is a doctor, he smokes like a fiend. Which makes his marathon run away from the police even that more impressive. Also, when he is riding in the convertible with his lawyer, neither of them is wearing a seat belt. How bright could they be?"
1,"First off, if you want to make a good film, don't cram all your exposition into the last 10 minutes. The viewer is expected to be bewildered for nearly two hours, only to have Margo's father explain everything to Alex very late in the film. To make matters worse, the scriptwriter decided it wasn't enough to have the basic mystery solved, but adds in a completely unnecessary murder that we knew nothing about ( involving Alex's father!). There's some serious motivation issues with characters also. Margo's father's choices don't seem to make sense once the film is over. Why didn't he just kill Philippe's father and be done with it? Instead, a complicated plot to obscure the truth is concocted, but one which ensures that everyone will be in physical jeopardy for years ( including the completely innocent photographer, who gets murdered by Philippe's father's thugs). Although Alex is a doctor ( whom one would think is relatively bright), he chooses to flee the police, during which he not only endangers his own life, but those whom he involves in a nasty pileup on the freeway. Why was Margo's friend so keen on keeping her promise to Margo, once all the crap hits the fan for Alex? And are we to think that Margo's father would rather kill himself rather than go to prison? What about his wife? Did he consider her wishes? Those are some of the main problems. Then there are some nasty details, like: why was her father there the night of her faked death? How did he get a hold of the junkie's body on such short notice and get it back quickly in order to bury it with the other two? Alex's friend Bruno seems overeager to be part of the mayhem, in which he and his friends have to kill for Alex, notwithstanding the perceived debt he owes Alex for saving his son's life. What good would the photos of Margo do? They don't implicate Philippe at all. And why would Margo have the safety deposit box key handy that night for her wouldbe abductors to take? Did I miss some other things? Probably. Minor irritations of mine include the fact that although Alex is a doctor, he smokes like a fiend. Which makes his marathon run away from the police even that more impressive. Also, when he is riding in the convertible with his lawyer, neither of them is wearing a seat belt. How bright could they be?"
0,"First off, to rent or watch this film you are expecting something in the Bhorror range. What this film delivers for the astute fan of this genre is quite a hilarious romp via nordic flavor. At times reminding me of the humor of Jackson's Dead Alive and others of a Stuart Gordon flick this little find should have most chuckling throughout.   The f/ x reach a few highs of truly spooky ( the first time Ed meets his nemesis) but generally have the feel that this film was put together by a f/ x team that decided to use any and all props at their disposal from other films ... gremlins, devils, slasher films, etc. to pretty good effect and worked in thru the use of hallucinations.   The gem of the film is the humor. The gore works most of the time but more for laughs. At its heart its a parody and a fun one at that."
1,"First off, to rent or watch this film you are expecting something in the Bhorror range. What this film delivers for the astute fan of this genre is quite a hilarious romp via nordic flavor. At times reminding me of the humor of Jackson's Dead Alive and others of a Stuart Gordon flick this little find should have most chuckling throughout.   The f/ x reach a few highs of truly spooky ( the first time Ed meets his nemesis) but generally have the feel that this film was put together by a f/ x team that decided to use any and all props at their disposal from other films ... gremlins, devils, slasher films, etc. to pretty good effect and worked in thru the use of hallucinations.   The gem of the film is the humor. The gore works most of the time but more for laughs. At its heart its a parody and a fun one at that."
0,"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Sandra Bullock usually annoys me with her "" oh my god why me "" way to behave, but this time she seems to have controlled herself. I'd recommend that movie."
